query,classlabel
Bug bot improve documentation feedback error handling,good
Bug Remotesvcs OSGi ServiceUIComponent violates Foundation Service UIComponent,good
Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed,good
Bug Discovery JmDNS Timer canceled early DNS,good
Bug IRC tab completion broken,good
Bug Discovery SLP Improve robustness broken SLP devices,bad
Bug Add utility methods BaseContainerInstantiator Base Container Instantiator,bad
Bug Broken statement pubsub,good
Bug Discovery DNS NPE org eclipse ecf provider dnssd DnsSdDiscoveryContainerAdapter getSRVRecord Lookup Comparator record PTR SRV record Dns Discovery Container Adapter SRVRecord,good
Bug removePresenceListener adds listener removing remove Presence Listener,good
Bug Missing javadoc statements compiler error,bad
Bug OSGi NPE uninstall proxy bundle,good
Bug remoteservice registry updated adapter accessed connect,good
Bug remotesrvs osgi parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer,good
Bug ServiceTypeID EMF URI conversion broken Service Type,good
Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator,good
Bug IRC support special characters connecting IRC server,bad
Bug slp Invalid service type unhandled exception thrown,bad
Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery,bad
Bug Remove Serializable org eclipse ecf core util Event interfac,bad
Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics,good
Bug Communications preference isn empty,good
Bug Zoodiscovery NPE unpublishing service,bad
Bug Send Request Open Resource fails incorrect message,bad
Bug OSGi NPE shutdown TCPChannelFactory TCPChannel Factory,good
Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable Serializable Status Serializable Status check Serializable,good
Bug org eclipse ecf core ContainerFactory getContainer returns caller hang indefinitely Container Factory Container,good
Bug Wrong underline hyperlink recognition,good
Bug add TRACEALL option debugging equinox DebugOptions frameworks Debug Options,good
Bug Zoodiscovery ArrayIndexOutOfBoundsException ECF Discovery View Array Bounds Exception,good
